title	year	trailer_duration	actors	awards	box_office	country	director	dvd_release	genre	imdb_id	imdb_type	imdb_votes	language	long_plot	movie_runtime	poster	production	rated	rating	release_date	short_plot	video_id	writer	youtube_comment	youtube_dislike	youtube_favorite	youtube_like	youtube_link	youtube_view
Underwater	2020	149.0	Kristen Stewart, T.J. Miller, Vincent Cassel, Jessica Henwick			USA	William Eubank		Action, Drama, Horror, Mystery, Thriller	tt5774060	movie		English	A crew of aquatic researchers work to get to safety after an earthquake devastates their subterranean laboratory. But the crew has more than the ocean seabed to fear.		https://m.media-amazon.com/images/M/MV5BNzM0OGZiZWItYmZiNC00NDgzLTg1MjMtYjM4MWZhOGZhMDUwXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg		PG-13		10 Jan 2020	A crew of aquatic researchers work to get to safety after an earthquake devastates their subterranean laboratory. But the crew has more than the ocean seabed to fear.	Rszr56AH3Co	Brian Duffield (screenplay by), Adam Cozad (screenplay by), Brian Duffield (story by)	2093.0	838.0	0.0	11728.0	www.youtube.com/watch/Rszr56AH3Co	907994.0
Top Gun: Maverick	2020	138.0	Tom Cruise, Jennifer Connelly, Glen Powell, Jon Hamm			USA, Hong Kong	Joseph Kosinski		Action, Drama	tt1745960	movie		English	The plot is unknown at this time.		https://m.media-amazon.com/images/M/MV5BOTdiNjNjYTUtYzUxZC00NTljLWExYjktZmI0ODQ3ODg5N2U3XkEyXkFqcGdeQXVyNjg3MDMxNzU@._V1_SX300.jpg	Paramount Pictures			26 Jun 2020	The plot is unknown at this time.	VbfC4lrNulE	Jim Cash (characters), Peter Craig, Jack Epps Jr. (characters), Justin Marks, Christopher McQuarrie, Eric Warren Singer	2861.0	558.0	0.0	23207.0	www.youtube.com/watch/VbfC4lrNulE	1661524.0
Mulan	2020	100.0	Yifei Liu, Donnie Yen, Jet Li, Li Gong			USA	Niki Caro		Action, Adventure, Drama, Family	tt4566758	movie		English	A young Chinese maiden disguises herself as a male warrior in order to save her father. A live-action feature film based on Disney's 'Mulan.'		https://m.media-amazon.com/images/M/MV5BZWM3N2Q2YWYtZDUxMS00Yjc1LWE2ZWEtNTE1YmU1MmJhZTliXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg	Walt Disney Pictures			27 Mar 2020	A young Chinese maiden disguises herself as a male warrior in order to save her father. A live-action feature film based on Disney's 'Mulan.'	mVgdfP7qj7s	Rick Jaffa (screenplay by), Amanda Silver (screenplay by), Elizabeth Martin (screenplay by), Lauren Hynek (screenplay by)	5644.0	4969.0	0.0	36568.0	www.youtube.com/watch/mVgdfP7qj7s	2341846.0
Trolls World Tour	2020	161.0	Anna Kendrick, Sam Rockwell, Jamie Dornan, Rachel Bloom			USA	Walt Dohrn, David P. Smith(co-director)		Animation, Adventure, Comedy, Family, Fantasy, Musical	tt6587640	movie		English	Sequel to the 2016 animated hit.		https://m.media-amazon.com/images/M/MV5BMzg4MGE4ODUtYWQ4My00MTRiLWEyYmQtYWZjMzFjMmQ5MDZjXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg				17 Apr 2020	Sequel to the 2016 animated hit.	JPzmECxyp_8	Jonathan Aibel, Glenn Berger	1456.0	1439.0	0.0	14465.0	www.youtube.com/watch/JPzmECxyp_8	1751336.0
The New Mutants	2020	129.0	Anya Taylor-Joy, Antonio Banderas, Maisie Williams, Alice Braga			USA	Josh Boone		Action, Horror, Sci-Fi	tt4682266	movie		English	Five young mutants, just discovering their abilities while held in a secret facility against their will, fight to escape their past sins and save themselves.		https://m.media-amazon.com/images/M/MV5BMTgxNzM1NzExM15BMl5BanBnXkFtZTgwODMwMDIzNDM@._V1_SX300.jpg	20th Century Fox			03 Apr 2020	Five young mutants, just discovering their abilities while held in a secret facility against their will, fight to escape their past sins and save themselves.	HwT879-4Wjs	Josh Boone, Knate Lee, Chris Claremont (based on the Marvel comics by), Bob McLeod (based on the Marvel comics by), Len Wein (character created by: Magik), Dave Cockrum (character created by: Magik)	2561.0	1948.0	0.0	18241.0	www.youtube.com/watch/HwT879-4Wjs	1451016.0
Knives Out	2019	71.0	Ana de Armas, Toni Collette, Chris Evans, Daniel Craig			USA	Rian Johnson		Comedy, Crime, Drama, Mystery, Thriller	tt8946378	movie	397.0	English	A detective investigates the death of a patriarch of an eccentric, combative family.	130 min	https://m.media-amazon.com/images/M/MV5BMGUwZjliMTAtNzAxZi00MWNiLWE2NzgtZGUxMGQxZjhhNDRiXkEyXkFqcGdeQXVyNjU1NzU3MzE@._V1_SX300.jpg	Lionsgate	PG-13	Internet Movie Database:7.6/10,Rotten Tomatoes:99%,Metacritic:84/100	27 Nov 2019	A detective investigates the death of a patriarch of an eccentric, combative family.	sE6fTeuKZkg	Rian Johnson	155.0	127.0	0.0	1791.0	www.youtube.com/watch/sE6fTeuKZkg	98814.0
21 Bridges	2019	71.0	Sienna Miller, Taylor Kitsch, J.K. Simmons, Keith David			USA	Brian Kirk		Action, Crime, Drama, Thriller	tt8688634	movie	76.0	English	A disgraced detective in the NYPD is given a shot at redemption.	99 min	https://m.media-amazon.com/images/M/MV5BYTg4YzEzNDQtZDAxOS00M2YyLTljZWEtNjk4YTc4NDM2NTBhXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg	STXfilms		Internet Movie Database:7.4/10	22 Nov 2019	A disgraced detective in the NYPD is given a shot at redemption.	70UY9X7qhE0	Adam Mervis (screenplay), Matthew Michael Carnahan (screenplay), Adam Mervis (story)	91.0	56.0	0.0	1540.0	www.youtube.com/watch/70UY9X7qhE0	58927.0
The King	2019	140.0	Robert Pattinson, Timothée Chalamet, Ben Mendelsohn, Joel Edgerton			UK, Hungary, Australia	David Michôd	01 Nov 2019	Biography, Drama, History, Romance, War	tt7984766	movie	400.0	English, French	Hal, wayward prince and heir to the English throne, is crowned King Henry V after his tyrannical father dies. Now the young king must navigate palace politics, the war his father left behind, and the emotional strings of his past life.	133 min	https://m.media-amazon.com/images/M/MV5BOGZhMWFhMTAtNGM3Ni00MTdhLTg3NmMtMDViYTc5ODVkZWVlXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg	Netflix	R	Internet Movie Database:6.5/10,Rotten Tomatoes:71%,Metacritic:67/100	01 Nov 2019	Hal, wayward prince and heir to the English throne, is crowned King Henry V after his tyrannical father dies. Now the young king must navigate palace politics, the war his father left behind, and the emotional strings of his past life.	Klw-rra8hOA	Joel Edgerton, David Michôd	181.0	83.0	0.0	2158.0	www.youtube.com/watch/Klw-rra8hOA	107744.0
Star Wars: The Rise of Skywalker	2019	152.0	Billie Lourd, Oscar Isaac, Daisy Ridley, Mark Hamill			USA	J.J. Abrams		Action, Adventure, Fantasy, Sci-Fi	tt2527338	movie		English	The surviving Resistance faces the First Order once more in the final chapter of the Skywalker saga.		https://m.media-amazon.com/images/M/MV5BZWU1NDI3YjEtZTlmMy00Y2FmLWI1ZDYtMjYwNDUxYTdlODllXkEyXkFqcGdeQXVyODkzNTgxMDg@._V1_SX300.jpg	Walt Disney Pictures			20 Dec 2019	The surviving Resistance faces the First Order once more in the final chapter of the Skywalker saga.	zvcKNaWgpXA	J.J. Abrams, Chris Terrio, George Lucas (based on characters created by), Colin Trevorrow, Derek Connolly	3486.0	4181.0	0.0	15331.0	www.youtube.com/watch/zvcKNaWgpXA	924596.0
Marriage Story	2019	139.0	Merritt Wever, Scarlett Johansson, Laura Dern, Adam Driver			USA	Noah Baumbach	06 Dec 2019	Comedy, Drama	tt7653254	movie	620.0	English	Noah Baumbach's incisive and compassionate look at a marriage breaking up and a family staying together.	136 min	https://m.media-amazon.com/images/M/MV5BY2FmNjZmNzgtZGM3MC00ZjIxLTliMTItMjlmMDY1MmNlZmQ3XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg	Netflix	R	Internet Movie Database:7.8/10,Rotten Tomatoes:98%,Metacritic:95/100	06 Dec 2019	Noah Baumbach's incisive and compassionate look at a marriage breaking up and a family staying together.	5XTlfPKBIOM	Noah Baumbach	265.0	184.0	0.0	2652.0	www.youtube.com/watch/5XTlfPKBIOM	183321.0
The Report	2019	71.0	Adam Driver, Corey Stoll, Evander Duck Jr., Jon Hamm			USA	Scott Z. Burns	29 Nov 2019	Drama, Thriller	tt8236336	movie	686.0	English	Idealistic Senate staffer Daniel J. Jones, tasked by his boss to lead an investigation into the CIA's post 9/11 Detention and Interrogation Program, uncovers shocking secrets.	119 min	https://m.media-amazon.com/images/M/MV5BZGI3ZGNkOGItNWU3ZS00NDIyLTljZjEtZTk5NzkxMjYwMjEzXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg	Amazon Studios	R	Internet Movie Database:7.0/10,Rotten Tomatoes:85%,Metacritic:79/100	15 Nov 2019	Idealistic Senate staffer Daniel J. Jones, tasked by his boss to lead an investigation into the CIA's post 9/11 Detention and Interrogation Program, uncovers shocking secrets.	cjXE_9ZmOpk	Scott Z. Burns	205.0	194.0	0.0	2282.0	www.youtube.com/watch/cjXE_9ZmOpk	152952.0
Bombshell	2019	142.0	Margot Robbie, Charlize Theron, Nicole Kidman, Jennifer Morrison			Canada, USA	Jay Roach		Biography, Drama	tt6394270	movie		English	A group of women decide to take on Fox News head Roger Ailes and the toxic atmosphere he presided over the network.	108 min	https://m.media-amazon.com/images/M/MV5BODA0NTc5OTMtODIzMS00NDAzLWE0NWQtNGNkOWU1YWFjNzU3XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg				20 Dec 2019	A group of women decide to take on Fox News head Roger Ailes and the toxic atmosphere he presided over the network.	B2G9-KhBek8	Charles Randolph	786.0	1351.0	0.0	6266.0	www.youtube.com/watch/B2G9-KhBek8	594862.0
Frozen II	2019	133.0	Jason Ritter, Kristen Bell, Jonathan Groff, Evan Rachel Wood			USA	Chris Buck, Jennifer Lee		Animation, Adventure, Comedy, Family, Fantasy, Musical	tt4520988	movie		English	Anna, Elsa, Kristoff, Olaf and Sven leave Arendelle to travel to an ancient, autumn-bound forest of an enchanted land. They set out to find the origin of Elsa's powers in order to save their kingdom.		https://m.media-amazon.com/images/M/MV5BMjA0YjYyZGMtN2U0Ni00YmY4LWJkZTItYTMyMjY3NGYyMTJkXkEyXkFqcGdeQXVyNDg4NjY5OTQ@._V1_SX300.jpg	Walt Disney Pictures	PG		22 Nov 2019	Anna, Elsa, Kristoff, Olaf and Sven leave Arendelle to travel to an ancient, autumn-bound forest of an enchanted land. They set out to find the origin of Elsa's powers in order to save their kingdom.	_EpH1zU-NIU	Jennifer Lee (characters), Allison Schroeder (screenplay)	431.0	190.0	0.0	6192.0	www.youtube.com/watch/_EpH1zU-NIU	394403.0
Earthquake Bird	2019	133.0	Alicia Vikander, Riley Keough, Jack Huston, Kiki Sukezane			USA	Wash Westmoreland	15 Nov 2019	Crime, Drama, Mystery, Romance, Thriller	tt8178486	movie		English	A young woman living in Tokyo becomes the prime suspect in a horrific murder when her friend goes missing in the wake of a tumultuous love triangle.	107 min	https://m.media-amazon.com/images/M/MV5BZGU3M2I0ODEtMzMwOS00MDk0LWI4NDktNTQ1ZmZkOWMyMGJkXkEyXkFqcGdeQXVyNjgzMjQ0MTA@._V1_SX300.jpg	Netflix	R		01 Nov 2019	A young woman living in Tokyo becomes the prime suspect in a horrific murder when her friend goes missing in the wake of a tumultuous love triangle.	mMcjf_1jhMc	Susanna Jones (novel), Wash Westmoreland (adaptation)	148.0	195.0	0.0	1613.0	www.youtube.com/watch/mMcjf_1jhMc	148183.0
Zombieland: Double Tap	2019	112.0	Zoey Deutch, Emma Stone, Abigail Breslin, Bill Murray			USA	Ruben Fleischer		Action, Comedy, Horror	tt1560220	movie		English	Columbus, Tallahasse, Wichita, and Little Rock move to the American heartland as they face off against evolved zombies, fellow survivors, and the growing pains of the snarky makeshift family.	93 min	https://m.media-amazon.com/images/M/MV5BYjcwNjZhNGYtOGNlNy00NGI3LTlmODMtMGZlMjA3YjA0Njg0XkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_SX300.jpg	Columbia Pictures	R		18 Oct 2019	Columbus, Tallahasse, Wichita, and Little Rock move to the American heartland as they face off against evolved zombies, fellow survivors, and the growing pains of the snarky makeshift family.	nI9p58_KJmw	Dave Callaham (screenplay), Rhett Reese (screenplay), Paul Wernick (screenplay)	173.0	84.0	0.0	3468.0	www.youtube.com/watch/nI9p58_KJmw	150841.0
Richard Jewell	2019	150.0	Sam Rockwell, Olivia Wilde, Jon Hamm, Kathy Bates			USA	Clint Eastwood		Drama	tt3513548	movie		English	American security guard, Richard Jewell, heroically saves thousands of lives from an exploding bomb at the 1996 Olympics, but is unjustly vilified by journalists and the press who falsely report that he was a terrorist.						13 Dec 2019	American security guard, Richard Jewell, heroically saves thousands of lives from an exploding bomb at the 1996 Olympics, but is unjustly vilified by journalists and the press who falsely report that he was a terrorist.	8tol-REbnKQ	Marie Brenner (magazine article), Billy Ray (screenplay)	343.0	75.0	0.0	2797.0	www.youtube.com/watch/8tol-REbnKQ	171993.0
6 Underground	2019	198.0	Ryan Reynolds, Mélanie Laurent, Adria Arjona, Ben Hardy			USA	Michael Bay		Action, Thriller	tt8106534	movie		English	Six billionaires fake their own deaths and form an elite vigilante squad in order to take down notorious criminals.		https://m.media-amazon.com/images/M/MV5BODM4ZTEwNmItNTkxYi00NjlmLTllMDctMWU4MGZmZDBhOWY2XkEyXkFqcGdeQXVyODUzODAxNDI@._V1_SX300.jpg	Skydance Media			01 Dec 2019	Six billionaires fake their own deaths and form an elite vigilante squad in order to take down notorious criminals.	3VCYs3sTLkA	Rhett Reese, Paul Wernick	1026.0	555.0	0.0	11335.0	www.youtube.com/watch/3VCYs3sTLkA	790575.0
The Irishman	2019	153.0	Robert De Niro, Jesse Plemons, Anna Paquin, Al Pacino			USA	Martin Scorsese	27 Nov 2019	Biography, Crime, Drama, History, Thriller	tt1302006	movie	2745.0	English	A mob hitman recalls his possible involvement with the slaying of Jimmy Hoffa.	209 min	https://m.media-amazon.com/images/M/MV5BMGUyM2ZiZmUtMWY0OC00NTQ4LThkOGUtNjY2NjkzMDJiMWMwXkEyXkFqcGdeQXVyMzY0MTE3NzU@._V1_SX300.jpg	Netflix	R	Internet Movie Database:8.6/10,Rotten Tomatoes:99%,Metacritic:94/100	27 Nov 2019	A mob hitman recalls his possible involvement with the slaying of Jimmy Hoffa.	rLiZpa7e-Rw	Charles Brandt (book), Steven Zaillian (screenplay)	1136.0	330.0	0.0	11634.0	www.youtube.com/watch/rLiZpa7e-Rw	932753.0
Wounds	2019	113.0	Armie Hammer, Zazie Beetz, Karl Glusman, Christin Rankins			UK	Babak Anvari	18 Oct 2019	Drama, Horror, Mystery, Thriller	tt5913798	movie	766.0	English	Disturbing and mysterious things begin to happen to a bartender in New Orleans after he picks up a phone left behind at his bar.	95 min	https://m.media-amazon.com/images/M/MV5BOThiMzJkOTctMzhiZi00MjFlLWFiODMtOGFlNzgwNWI1ZGI5XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg	Hulu	R	Internet Movie Database:4.5/10,Rotten Tomatoes:57%,Metacritic:50/100	18 Oct 2019	Disturbing and mysterious things begin to happen to a bartender in New Orleans after he picks up a phone left behind at his bar.	21NsBTI6kHY	Babak Anvari (written for the screen by), Nathan Ballingrud (based on the novella 'The Visible Filth' by)	440.0	387.0	0.0	2857.0	www.youtube.com/watch/21NsBTI6kHY	491257.0
El Camino: A Breaking Bad Movie	2019	137.0	Aaron Paul, Jonathan Banks, Matt Jones, Charles Baker			USA	Vince Gilligan	11 Oct 2019	Action, Drama	tt9243946	movie	81896.0	English	A sequel, of sorts, to Breaking Bad following Jesse Pinkman after the events captured in the finale of Breaking Bad. Jesse is now on the run, as a massive police manhunt for him is in operation.	122 min	https://m.media-amazon.com/images/M/MV5BNjk4MzVlM2UtZGM0ZC00M2M1LThkMWEtZjUyN2U2ZTc0NmM5XkEyXkFqcGdeQXVyOTAzMTc2MjA@._V1_SX300.jpg	Netflix	TV-MA	Internet Movie Database:7.7/10,Rotten Tomatoes:95%,Metacritic:72/100	11 Oct 2019	A sequel, of sorts, to Breaking Bad following Jesse Pinkman after the events captured in the finale of Breaking Bad. Jesse is now on the run, as a massive police manhunt for him is in operation.	Yhjs8B_Wxl8	"Vince Gilligan, Vince Gilligan (based on ""Breaking Bad"" by)"	1110.0	203.0	0.0	10331.0	www.youtube.com/watch/Yhjs8B_Wxl8	649730.0
Uncut Gems	2019	147.0	Adam Sandler, Julia Fox, Kevin Garnett, The Weeknd			USA	Benny Safdie, Josh Safdie		Comedy, Crime, Drama, Mystery, Thriller	tt5727208	movie	702.0	English	A charismatic New York City jeweler always on the lookout for the next big score, makes a series of high-stakes bets that could lead to the windfall of a lifetime. Howard must perform a precarious high-wire act, balancing business, family, and encroaching adversaries on all sides, in his relentless pursuit of the ultimate win.	135 min	https://m.media-amazon.com/images/M/MV5BZDhkMjUyYjItYWVkYi00YTM5LWE4MGEtY2FlMjA3OThlYmZhXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_SX300.jpg	A24	R	Internet Movie Database:8.0/10,Rotten Tomatoes:95%,Metacritic:90/100	25 Dec 2019	A charismatic New York City jeweler always on the lookout for the next big score, makes a series of high-stakes bets that could lead to the windfall of a lifetime. Howard must perform a precarious high-wire act, balancing business, family, and encroaching adversaries on all sides, in his relentless pursuit of the ultimate win.	WIvC19qUdfI	Ronald Bronstein, Benny Safdie, Josh Safdie	394.0	184.0	0.0	4118.0	www.youtube.com/watch/WIvC19qUdfI	175490.0
Fractured	2019	128.0	Lily Rabe, Sam Worthington, Stephen Tobolowsky, Lucy Capri			USA	Brad Anderson		Thriller	tt4332232	movie	79.0		Driving cross-country, Ray and his wife and daughter stop at a highway rest area where his daughter falls and breaks her arm. After a frantic rush to the hospital and a clash with the ...	100 min	https://m.media-amazon.com/images/M/MV5BZTE0MWE4NzMtMzc4Ny00NWE4LTg2OTQtZmIyNDdhZjdiZmJhXkEyXkFqcGdeQXVyMzY0MTE3NzU@._V1_SX300.jpg			Internet Movie Database:6.2/10	11 Oct 2019	Driving cross-country, Ray and his wife and daughter stop at a highway rest area where his daughter falls and breaks her arm. After a frantic rush to the hospital and a clash with the ...	S8obCz5NSog	Alan B. McElroy	1200.0	220.0	0.0	5480.0	www.youtube.com/watch/S8obCz5NSog	912749.0
The Aeronauts	2019	154.0	Felicity Jones, Eddie Redmayne, Himesh Patel, Anne Reid			USA, UK	Tom Harper	20 Dec 2019	Action, Adventure, Biography, Drama, Thriller	tt6141246	movie	242.0	English	Pilot Amelia Wren (Felicity Jones) and scientist James Glaisher (Eddie Redmayne) find themselves in an epic fight for survival while attempting to make discoveries in a hot air balloon.	101 min	https://m.media-amazon.com/images/M/MV5BMDM3MjZiNWItOTAxNy00ODJjLTlmNWEtMTFiNjU5YTlmZDcwXkEyXkFqcGdeQXVyODE1MjMyNzI@._V1_SX300.jpg	Amazon Studios		Internet Movie Database:6.3/10,Rotten Tomatoes:83%,Metacritic:73/100	06 Dec 2019	Pilot Amelia Wren (Felicity Jones) and scientist James Glaisher (Eddie Redmayne) find themselves in an epic fight for survival while attempting to make discoveries in a hot air balloon.	8EM5qWkxQE8	Tom Harper (story by), Jack Thorne (story by), Jack Thorne	112.0	120.0	0.0	1399.0	www.youtube.com/watch/8EM5qWkxQE8	69920.0
